1:14:1	0.00056955	J AM SOC NEPHROL	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
1:16	0.00439491	UROLOGY
1:16:1	7.8315e-05	HUM REPROD UPDATE	HUMAN REPRODUCTION UPDATE
1:17	0.00410869	OPHTHALMOLOGY
1:17:1	0.00047932	OPHTHALMOLOGY	OPHTHALMOLOGY
1:17:2	0.00035631	ARCH OPHTHALMOL-CHIC	ARCHIVES OF OPHTHALMOLOGY
1:17:3	4.2796e-05	PROG RETIN EYE RES	PROGRESS IN RETINAL AND EYE RESEARCH
1:19	0.00265506	ENVIRONMENTAL HEALTH
1:19:1	0.00048879	ENVIRON HEALTH PERSP	ENVIRONMENTAL HEALTH PERSPECTIVES
1:20	0.00271218	PARASITOLOGY
1:20:1	4.2435e-05	ADV PARASIT	ADVANCES IN PARASITOLOGY
1:21	0.00244043	DENTISTRY
1:21:1	4.8682e-05	CRIT REV ORAL BIOL M	CRITICAL REVIEWS IN ORAL BIOLOGY & MEDICINE
1:22	0.00242494	ENTOMOLOGY
1:22:1	0.00015468	ANNU REV ENTOMOL	ANNUAL REVIEW OF ENTOMOLOGY
1:29	0.00136087	PHARMACOLOGY
1:29:1	0.00010687	ADV DRUG DELIVER REV	ADVANCED DRUG DELIVERY REVIEWS
1:31	0.00157004	NO SUGGESTION
1:31:1	0.00076717	J BONE MINER RES	JOURNAL OF BONE AND MINERAL RESEARCH
1:34	0.000849863	ANTHROPOLOGY
1:34:1	4.5514e-05	ANNU REV ANTHROPOL	ANNUAL REVIEW OF ANTHROPOLOGY
2	0.315186	SUPERFIELD
2:1	0.139708	PHYSICS
2:1:1	0.016774	PHYS REV LETT	PHYSICAL REVIEW LETTERS
2:1:2	0.007703	APPL PHYS LETT	APPLIED PHYSICS LETTERS
2:1:3	0.0017649	OPT LETT	OPTICS LETTERS
2:1:4	0.0012147	CHEM MATER	CHEMISTRY OF MATERIALS
2:1:5	0.0010146	ADV MATER	ADVANCED MATERIALS
2:1:6	0.00080705	ACTA MATER	ACTA MATERIALIA
2:1:7	0.00078512	REV MOD PHYS	REVIEWS OF MODERN PHYSICS
2:1:8	0.0004642	IEEE ELECTR DEVICE L	IEEE ELECTRON DEVICE LETTERS
2:1:9	0.00042647	IEEE J SEL TOP QUANT	IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS
2:1:10	0.00034404	PHYS TODAY	PHYSICS TODAY
2:1:11	0.00032077	J COMPUT CHEM	JOURNAL OF COMPUTATIONAL CHEMISTRY
2:1:12	0.00030472	J APPL CRYSTALLOGR	JOURNAL OF APPLIED CRYSTALLOGRAPHY
2:1:13	0.00029755	REP PROG PHYS	REPORTS ON PROGRESS IN PHYSICS
2:1:14	0.00028881	MRS BULL	MRS BULLETIN
2:1:15	0.00020308	ANNU REV PHYS CHEM	ANNUAL REVIEW OF PHYSICAL CHEMISTRY
2:1:16	0.00015959	SURF SCI REP	SURFACE SCIENCE REPORTS
2:1:17	0.00014177	J PHYS CHEM REF DATA	JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA
2:1:18	0.00012698	ADV PHYS	ADVANCES IN PHYSICS
2:1:19	0.00011334	CURR OPIN COLLOID IN	CURRENT OPINION IN COLLOID & INTERFACE SCIENCE
2:1:20	9.4514e-05	IBM J RES DEV	IBM JOURNAL OF RESEARCH AND DEVELOPMENT
2:1:21	8.2078e-05	PROG SURF SCI	PROGRESS IN SURFACE SCIENCE
2:1:22	8.0714e-05	ADV COLLOID INTERFAC	ADVANCES IN COLLOID AND INTERFACE SCIENCE
2:1:23	7.5922e-05	CURR OPIN SOLID ST M	CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE
2:1:24	7.3464e-05	MAT SCI ENG R	MATERIALS SCIENCE & ENGINEERING R-REPORTS
2:1:25	7.1127e-05	J MICROELECTROMECH S	JOURNAL OF MICROELECTROMECHANICAL SYSTEMS
2:1:26	5.7222e-05	ADV ATOM MOL OPT PHY	ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS
2:1:27	5.6823e-05	INT MATER REV	INTERNATIONAL MATERIALS REVIEWS
2:1:28	4.5924e-05	SOLID STATE PHYS	SOLID STATE PHYSICS-ADVANCES IN RESEARCH AND APPLICATIONS
2:1:29	4.0382e-05	INT REV PHYS CHEM	INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY
2:1:30	3.9197e-05	PROG QUANT ELECTRON	PROGRESS IN QUANTUM ELECTRONICS
2:1:31	3.5296e-05	PROG MATER SCI	PROGRESS IN MATERIALS SCIENCE
2:1:32	1.473e-05	CRIT REV SOLID STATE	CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES
2:2	0.0427236	CHEMISTRY
2:2:1	0.0076091	J AM CHEM SOC	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
2:2:2	0.0032269	ANGEW CHEM INT EDIT	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION
2:2:3	0.0017324	CHEM REV	CHEMICAL REVIEWS
2:2:4	0.00085556	ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH
2:2:5	0.00069182	CHEM-EUR J	CHEMISTRY-A EUROPEAN JOURNAL
2:2:6	0.00031806	COORDIN CHEM REV	COORDINATION CHEMISTRY REVIEWS
2:2:7	0.00028239	CHEM SOC REV	CHEMICAL SOCIETY REVIEWS
2:2:8	0.00012836	TOP CURR CHEM	TOPICS IN CURRENT CHEMISTRY
2:2:9	0.00010578	NAT PROD REP	NATURAL PRODUCT REPORTS
2:2:10	6.2167e-05	PROG NUCL MAG RES SP	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
2:2:11	5.9827e-05	ADV INORG CHEM	ADVANCES IN INORGANIC CHEMISTRY
2:2:12	2.3315e-05	ALDRICHIM ACTA	ALDRICHIMICA ACTA
2:3	0.0198425	MATHEMATICS
2:3:1	0.00071425	COMMUN MATH PHYS	COMMUNICATIONS IN MATHEMATICAL PHYSICS
2:3:2	0.00048984	INVENT MATH	INVENTIONES MATHEMATICAE
2:3:3	0.0003722	DUKE MATH J	DUKE MATHEMATICAL JOURNAL
2:3:4	0.00030676	ANN MATH	ANNALS OF MATHEMATICS
2:3:5	0.00027055	J REINE ANGEW MATH	JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK
2:3:6	0.00025374	SIAM J SCI COMPUT	SIAM JOURNAL ON SCIENTIFIC COMPUTING
2:3:7	0.00024896	MATH ANN	MATHEMATISCHE ANNALEN
2:3:8	0.00023734	COMMUN PUR APPL MATH	COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS
2:3:9	0.00022065	ADV MATH	ADVANCES IN MATHEMATICS
2:3:10	0.00020938	J AM MATH SOC	JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY
2:3:11	0.00019437	ARCH RATION MECH AN	ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS
2:3:12	0.00019162	ANN PROBAB	ANNALS OF PROBABILITY
2:3:13	0.00018153	J DIFFER GEOM	JOURNAL OF DIFFERENTIAL GEOMETRY
2:3:14	0.0001637	PROBAB THEORY REL	PROBABILITY THEORY AND RELATED FIELDS
2:3:15	0.00015582	AM J MATH	AMERICAN JOURNAL OF MATHEMATICS
2:3:16	0.00013688	SIAM REV	SIAM REVIEW
2:3:17	0.00013563	MEM AM MATH SOC	MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY
2:3:18	0.00012534	P LOND MATH SOC	PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY
2:3:19	0.00011957	GEOM FUNCT ANAL	GEOMETRIC AND FUNCTIONAL ANALYSIS
2:3:20	0.00011418	ACTA MATH-DJURSHOLM	ACTA MATHEMATICA
2:3:21	9.4399e-05	ANN SCI ECOLE NORM S	ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE
2:3:22	8.4027e-05	J MATH PURE APPL	JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES
2:3:23	7.8144e-05	COMMENT MATH HELV	COMMENTARII MATHEMATICI HELVETICI
2:3:24	7.5126e-05	B AM MATH SOC	BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY
2:3:25	7.1353e-05	APPL COMPUT HARMON A	APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS
2:4	0.0182378	COMPUTER SCIENCE
2:4:1	0.00070867	IEEE J SEL AREA COMM	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
2:4:2	0.00070466	P IEEE	PROCEEDINGS OF THE IEEE
2:4:3	0.00062202	IEEE T COMMUN	IEEE TRANSACTIONS ON COMMUNICATIONS
2:4:4	0.00052593	IEEE COMMUN MAG	IEEE COMMUNICATIONS MAGAZINE
2:4:5	0.0004638	IEEE T PATTERN ANAL	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
2:4:6	0.00045836	IEEE J SOLID-ST CIRC	IEEE JOURNAL OF SOLID-STATE CIRCUITS
2:4:7	0.00040947	IEEE T IMAGE PROCESS	IEEE TRANSACTIONS ON IMAGE PROCESSING
2:4:8	0.00030076	IEEE ACM T NETWORK	IEEE-ACM TRANSACTIONS ON NETWORKING
2:4:9	0.000298	ARTIF INTELL	ARTIFICIAL INTELLIGENCE
2:4:10	0.00026693	NEURAL COMPUT	NEURAL COMPUTATION
2:4:11	0.00020393	IEEE T SOFTWARE ENG	IEEE TRANSACTIONS ON SOFTWARE ENGINEERING
2:4:12	0.00019444	SIAM J COMPUT	SIAM JOURNAL ON COMPUTING
2:4:13	0.00017932	J ACM	JOURNAL OF THE ACM
2:4:14	0.0001665	INT J COMPUT VISION	INTERNATIONAL JOURNAL OF COMPUTER VISION
2:4:15	0.0001359	MACH LEARN	MACHINE LEARNING
2:4:16	0.00012432	IEEE NETWORK	IEEE NETWORK
2:4:17	7.9181e-05	ACM COMPUT SURV	ACM COMPUTING SURVEYS
2:4:18	6.6264e-05	IEEE SIGNAL PROC MAG	IEEE SIGNAL PROCESSING MAGAZINE
2:4:19	4.8302e-05	J ARTIF INTELL RES	JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH
2:4:20	3.237e-05	ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS
2:4:21	2.8254e-05	ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS
2:4:22	2.0137e-05	ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS
2:4:23	1.2893e-05	HUM-COMPUT INTERACT	HUMAN-COMPUTER INTERACTION
2:5	0.0178299	NO SUGGESTION
2:5:1	0.0041567	PHYS LETT B	PHYSICS LETTERS B
2:5:2	0.0027035	NUCL PHYS B	NUCLEAR PHYSICS B
2:5:3	0.00083012	PHYS REP	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS
2:5:4	0.00019506	ASTROPART PHYS	ASTROPARTICLE PHYSICS
2:5:5	0.00018556	ANN PHYS-NEW YORK	ANNALS OF PHYSICS
2:5:6	9.4414e-05	PROG PART NUCL PHYS	PROGRESS IN PARTICLE AND NUCLEAR PHYSICS
2:5:7	9.369e-05	ANNU REV NUCL PART S	ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE
2:5:8	7.5275e-05	ATOM DATA NUCL DATA	ATOMIC DATA AND NUCLEAR DATA TABLES
2:6	0.0150939	ASTRONOMY & ASTROPHYSICS
2:6:1	0.0047869	ASTROPHYS J	ASTROPHYSICAL JOURNAL
2:6:2	0.0028423	MON NOT R ASTRON SOC	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY
2:6:3	0.0026426	ASTRON ASTROPHYS	ASTRONOMY AND ASTROPHYSICS
2:6:4	0.00153	ASTRON J	ASTRONOMICAL JOURNAL
2:6:5	0.00050613	ASTROPHYS J SUPPL S	ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES
2:6:6	0.0005058	PUBL ASTRON SOC PAC	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC
2:6:7	0.00030391	ANNU REV ASTRON ASTR	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS
2:6:8	6.2332e-05	ACTA ASTRONOM	ACTA ASTRONOMICA
2:6:9	2.5806e-05	ASTRON ASTROPHYS REV	ASTRONOMY AND ASTROPHYSICS REVIEW
2:7	0.0116557	ANALYTIC CHEMISTRY
