1	0.659566	SUPERFIELD
1:4:21	0.00015057	BEHAV BRAIN SCI	BEHAVIORAL AND BRAIN SCIENCES
1:4:22	6.5443e-05	COGNITIVE PSYCHOL	COGNITIVE PSYCHOLOGY
1:4:23	6.5058e-05	ADV EXP SOC PSYCHOL	ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY
1:4:24	5.6691e-05	PSYCHOL INQ	PSYCHOLOGICAL INQUIRY
1:4:25	2.0662e-05	MONOGR SOC RES CHILD	MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT
1:5	0.0305041	ECOLOGY & EVOLUTION
1:5:1	0.0010811	ECOLOGY	ECOLOGY
1:5:2	0.00072587	TRENDS ECOL EVOL	TRENDS IN ECOLOGY & EVOLUTION
1:5:3	0.00072355	EVOLUTION	EVOLUTION
1:5:4	0.00072076	MOL ECOL	MOLECULAR ECOLOGY
1:5:5	0.00066621	OECOLOGIA	OECOLOGIA
1:5:6	0.00052408	AM NAT	AMERICAN NATURALIST
1:5:7	0.00051075	OIKOS	OIKOS
1:5:8	0.00047134	LIMNOL OCEANOGR	LIMNOLOGY AND OCEANOGRAPHY
1:5:9	0.00044716	CONSERV BIOL	CONSERVATION BIOLOGY
1:5:10	0.0004388	ECOL APPL	ECOLOGICAL APPLICATIONS
1:5:11	0.00040216	MOL PHYLOGENET EVOL	MOLECULAR PHYLOGENETICS AND EVOLUTION
1:5:12	0.00030625	BIOSCIENCE	BIOSCIENCE
1:5:13	0.0002545	J EVOLUTION BIOL	JOURNAL OF EVOLUTIONARY BIOLOGY
1:5:14	0.00025287	J ANIM ECOL	JOURNAL OF ANIMAL ECOLOGY
1:5:15	0.0002343	J ECOL	JOURNAL OF ECOLOGY
1:5:16	0.00021774	J APPL ECOL	JOURNAL OF APPLIED ECOLOGY
1:5:17	0.00020019	FUNCT ECOL	FUNCTIONAL ECOLOGY
1:5:18	0.00015542	BIOGEOCHEMISTRY	BIOGEOCHEMISTRY
1:5:19	0.00014536	ECOL MONOGR	ECOLOGICAL MONOGRAPHS
1:5:20	0.00013866	ANNU REV ENTOMOL	ANNUAL REVIEW OF ENTOMOLOGY
1:5:21	9.5824e-05	GLOBAL ECOL BIOGEOGR	GLOBAL ECOLOGY AND BIOGEOGRAPHY
1:5:22	8.5464e-05	BIOL REV	BIOLOGICAL REVIEWS
1:5:23	5.5924e-05	CLADISTICS	CLADISTICS
1:5:24	3.3039e-05	Q REV BIOL	QUARTERLY REVIEW OF BIOLOGY
1:5:25	1.5492e-05	ADV MAR BIOL	ADVANCES IN MARINE BIOLOGY
1:6	0.0188921	PATHOLOGY
1:6:1	0.0028292	J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY
1:6:2	0.0018426	CLIN CANCER RES	CLINICAL CANCER RESEARCH
1:6:3	0.0012459	CANCER	CANCER
1:6:4	0.0010658	J NATL CANCER I	JOURNAL OF THE NATIONAL CANCER INSTITUTE
1:6:5	0.00053018	CANCER EPIDEM BIOMAR	CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION
1:6:6	0.00030738	CA-CANCER J CLIN	CA-A CANCER JOURNAL FOR CLINICIANS
1:6:7	9.1592e-05	ENDOCR-RELAT CANCER	ENDOCRINE-RELATED CANCER
1:7	0.0153719	PARASITOLOGY
1:7:1	0.0014695	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:7:2	0.0014092	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:7:3	0.00098839	AIDS	AIDS
1:7:4	0.00079549	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES
1:7:5	0.00029978	CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS
1:7:6	2.1012e-05	ADV PARASIT	ADVANCES IN PARASITOLOGY
1:8	0.0134072	NEUROSCIENCE
1:8:1	0.002024	NEUROLOGY	NEUROLOGY
1:8:2	0.0011806	STROKE	STROKE
1:8:3	0.00095332	BRAIN	BRAIN
1:8:4	0.00092764	ANN NEUROL	ANNALS OF NEUROLOGY
1:8:5	0.00053781	ARCH NEUROL-CHICAGO	ARCHIVES OF NEUROLOGY
1:9	0.0113897	ANALYTIC CHEMISTRY
1:9:1	0.0018435	APPL ENVIRON MICROB	APPLIED AND ENVIRONMENTAL MICROBIOLOGY
1:10	0.0117007	ENVIRONMENTAL CHEMISTRY & MICROBIOLOGY
1:10:1	0.0016878	ENVIRON SCI TECHNOL	ENVIRONMENTAL SCIENCE & TECHNOLOGY
1:10:2	0.00057305	ENVIRON HEALTH PERSP	ENVIRONMENTAL HEALTH PERSPECTIVES
1:11	0.0122811	CROP SCIENCE
1:11:1	0.0015845	PLANT PHYSIOL	PLANT PHYSIOLOGY
1:11:2	0.0013459	PLANT CELL	PLANT CELL
1:11:3	0.00099089	PLANT J	PLANT JOURNAL
1:11:4	0.00047595	NEW PHYTOL	NEW PHYTOLOGIST
1:11:5	0.00043816	TRENDS PLANT SCI	TRENDS IN PLANT SCIENCE
1:11:6	0.00037534	PLANT MOL BIOL	PLANT MOLECULAR BIOLOGY
1:11:7	0.00025646	PLANT CELL ENVIRON	PLANT CELL AND ENVIRONMENT
1:11:8	0.00024875	MOL PLANT MICROBE IN	MOLECULAR PLANT-MICROBE INTERACTIONS
1:11:9	0.00011632	ANNU REV PHYTOPATHOL	ANNUAL REVIEW OF PHYTOPATHOLOGY
1:11:10	4.1928e-05	CRIT REV PLANT SCI	CRITICAL REVIEWS IN PLANT SCIENCES
1:12	0.0120072	GASTROENTEROLOGY
1:12:1	0.0015842	GASTROENTEROLOGY	GASTROENTEROLOGY
1:12:2	0.0011437	HEPATOLOGY	HEPATOLOGY
1:12:3	0.00077763	GUT	GUT
1:12:4	0.00069144	AM J GASTROENTEROL	AMERICAN JOURNAL OF GASTROENTEROLOGY
1:12:5	0.0006373	ANN SURG	ANNALS OF SURGERY
1:12:6	0.00048229	J HEPATOL	JOURNAL OF HEPATOLOGY
1:12:7	0.00010527	SEMIN LIVER DIS	SEMINARS IN LIVER DISEASE
1:13	0.00682046	MEDICAL IMAGING
1:13:1	0.0010526	RADIOLOGY	RADIOLOGY
1:13:2	0.00025249	IEEE T MED IMAGING	IEEE TRANSACTIONS ON MEDICAL IMAGING
1:13:3	0.00011143	NMR BIOMED	NMR IN BIOMEDICINE
1:16	0.00474162	UROLOGY
1:16:1	0.00012602	HUM REPROD UPDATE	HUMAN REPRODUCTION UPDATE
1:17	0.00486811	OPHTHALMOLOGY
1:17:1	0.00061924	OPHTHALMOLOGY	OPHTHALMOLOGY
1:17:2	0.00047003	ARCH OPHTHALMOL-CHIC	ARCHIVES OF OPHTHALMOLOGY
1:17:3	0.00010332	PROG RETIN EYE RES	PROGRESS IN RETINAL AND EYE RESEARCH
1:18	0.00380334	AGRICULTURE
1:18:1	3.8881e-05	ADV AGRON	ADVANCES IN AGRONOMY
1:19	0.003775	PHARMACOLOGY
1:19:1	0.00040266	ADV DRUG DELIVER REV	ADVANCED DRUG DELIVERY REVIEWS
1:20	0.00353905	RHEUMATOLOGY
1:20:1	7.7582e-05	MEDICINE	MEDICINE
1:22	0.00238286	DENTISTRY
1:22:1	5.1618e-05	CRIT REV ORAL BIOL M	CRITICAL REVIEWS IN ORAL BIOLOGY & MEDICINE
1:24	0.00205142	EDUCATION
1:24:1	0.00016094	J EDUC PSYCHOL	JOURNAL OF EDUCATIONAL PSYCHOLOGY
1:24:2	8.6895e-05	J RES SCI TEACH	JOURNAL OF RESEARCH IN SCIENCE TEACHING
1:24:3	7.7996e-05	EDUC PSYCHOL	EDUCATIONAL PSYCHOLOGIST
1:24:4	4.5061e-05	EDUC EVAL POLICY AN	EDUCATIONAL EVALUATION AND POLICY ANALYSIS
1:24:5	4.374e-05	REV EDUC RES	REVIEW OF EDUCATIONAL RESEARCH
1:24:6	3.1202e-05	HARVARD EDUC REV	HARVARD EDUCATIONAL REVIEW
1:24:7	2.7196e-05	EDUC PSYCHOL REV	EDUCATIONAL PSYCHOLOGY REVIEW
2	0.264577	SUPERFIELD
2:1	0.0980095	PHYSICS
2:1:1	0.01361	PHYS REV LETT	PHYSICAL REVIEW LETTERS
2:1:2	0.0074936	APPL PHYS LETT	APPLIED PHYSICS LETTERS
2:1:3	0.0013512	OPT LETT	OPTICS LETTERS
2:1:4	0.0010875	ACTA MATER	ACTA MATERIALIA
2:1:5	0.00097576	REV MOD PHYS	REVIEWS OF MODERN PHYSICS
2:1:6	0.00070025	PHYS REP	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS
2:1:7	0.00049581	P IEEE	PROCEEDINGS OF THE IEEE
2:1:8	0.0004203	IEEE ELECTR DEVICE L	IEEE ELECTRON DEVICE LETTERS
2:1:9	0.00030923	IEEE J SEL TOP QUANT	IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS
2:1:10	0.00028003	REP PROG PHYS	REPORTS ON PROGRESS IN PHYSICS
2:1:11	0.00020223	MRS BULL	MRS BULLETIN
2:1:12	0.00019374	J MICROELECTROMECH S	JOURNAL OF MICROELECTROMECHANICAL SYSTEMS
2:1:13	0.00018973	PHYS TODAY	PHYSICS TODAY
2:1:14	0.00015192	MAT SCI ENG R	MATERIALS SCIENCE & ENGINEERING R-REPORTS
2:1:15	0.00011455	SURF SCI REP	SURFACE SCIENCE REPORTS
2:1:16	0.00011018	IBM J RES DEV	IBM JOURNAL OF RESEARCH AND DEVELOPMENT
2:1:17	0.00010802	PROG MATER SCI	PROGRESS IN MATERIALS SCIENCE
2:1:18	0.00010741	ADV PHYS	ADVANCES IN PHYSICS
2:1:19	0.00010345	CURR OPIN SOLID ST M	CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE
2:1:20	5.9734e-05	PROG SURF SCI	PROGRESS IN SURFACE SCIENCE
2:1:21	4.1158e-05	ADV ATOM MOL OPT PHY	ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS
2:1:22	4.1068e-05	INT MATER REV	INTERNATIONAL MATERIALS REVIEWS
2:1:23	1.8709e-05	SOLID STATE PHYS	SOLID STATE PHYSICS-ADVANCES IN RESEARCH AND APPLICATIONS
2:1:24	1.7527e-05	PROG QUANT ELECTRON	PROGRESS IN QUANTUM ELECTRONICS
2:1:25	1.1333e-05	CRIT REV SOLID STATE	CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES
2:2	0.090922	CHEMISTRY
2:2:1	0.0095902	J AM CHEM SOC	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
2:2:2	0.0045341	ANGEW CHEM INT EDIT	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION
2:2:3	0.0021664	ADV MATER	ADVANCED MATERIALS
